year, proportion_negative, proportion_neutral, proportion_positive
2014, 0.48068, 0.31627, 0.20306
2015, 0.56864, 0.24739, 0.18397
2016, 0.42147, 0.36644, 0.21209
2017, 0.43022, 0.36987, 0.19991
2018, 0.31206, 0.47457, 0.21336
2019, 0.41544, 0.35914, 0.22541
2020, 0.43185, 0.33952, 0.22862
2021, 0.41632, 0.32735, 0.25633
2022, 0.46494, 0.33352, 0.20153
